source_character,target_character,source_line,text,character_name,is_synthetic
JACK,BATEMAN,"No! This isn't true. We... we were around other people, together, both of us...",No. That's ridiculous. We were at Dorsia. With other people. Both of us at the same table.,BATEMAN,True
JACK,BATEMAN,We don't... ?,"We don't what, exactly?",BATEMAN,True
JACK,BATEMAN,You... don't have to... leave.,You can stay. It's fine.,BATEMAN,True
JACK,BATEMAN,It isn't... ?,It's not...is it?,BATEMAN,True
JACK,BATEMAN,Yes...,Yeah.,BATEMAN,True
JACK,BATEMAN,There?,Right there. That spot.,BATEMAN,True
JACK,BATEMAN,Why... why... why... ?,What's the point of this exactly? Are we doing something here or just wasting time?,BATEMAN,True
JACK,BATEMAN,Look at my face.,Look at my face. It's Kiehl's. Ultra Facial Cream.,BATEMAN,True
JACK,BATEMAN,"I can't let myself see where you're going. Go wherever it takes you, remember... keep away from major cities...","I'm not going to watch where you go. Just drive. Stay out of New York, Boston, anywhere that matters.",BATEMAN,True
JACK,BATEMAN,I'm on to you. You're a faker. You aren't dying.,You're not sick. You're wasting everyone's time. This is pathetic.,BATEMAN,True
JACK,BATEMAN,"Well, uh... great.",Great. Absolutely great.,BATEMAN,True
JACK,BATEMAN,I mean -- for a living.,What do you do for work? Professionally.,BATEMAN,True
JACK,BATEMAN,"-- But, in here, in everyone, there's the squint of a five-day headache. Yet they forced themselves to be positive. They never said ""parasite;"" they said ""agent."" They always talked about getting better.","But in here, everyone's got that look. Five-day migraine. Still, they make themselves sound upbeat. Never ""parasite."" Always ""agent."" Always talking about recovery, improvement, getting better.",BATEMAN,True
JACK,BATEMAN,You're kidding.,That's ridiculous.,BATEMAN,True
JACK,BATEMAN,Show-off.,That's unnecessarily theatrical.,BATEMAN,True
JACK,BATEMAN,"Really, what's that?",What is it.,BATEMAN,True
JACK,BATEMAN,Yeah.,Sure.,BATEMAN,True
JACK,BATEMAN,"She'd invaded my support groups, now she's invading my home.","She's already ruined the support groups. Now she's here, in my apartment.",BATEMAN,True
JACK,BATEMAN,I'm not going...,I don't go to those places.,BATEMAN,True
JACK,BATEMAN,I think this is about where we came in.,This is where we started. Full circle.,BATEMAN,True
BATEMAN,JACK,Who?,What?,JACK,True
BATEMAN,JACK,"Gee, uh, that's too bad.",That's unfortunate.,JACK,True
BATEMAN,JACK,Would you like to see my apartment?,You should come up.,JACK,True
BATEMAN,JACK,You and...Luis?,You and Luis.,JACK,True
BATEMAN,JACK,...to the office this afternoon.,I went in later. Afternoon. Fluorescent lights and spreadsheets.,JACK,True
BATEMAN,JACK,Tell him I'm at lunch.,Tell him I'm out. Lunch. Not that I'm eating.,JACK,True
BATEMAN,JACK,"Yes, I am.",Yes.,JACK,True
BATEMAN,JACK,Oh.,I didn't say anything.,JACK,True
BATEMAN,JACK,I haven't seen you around here.,You're new.,JACK,True
BATEMAN,JACK,Do you know what Ed Gein said about women?,Ed Gein had this thing he said about women.,JACK,True
BATEMAN,JACK,Absolutely. I'm with you on that one.,Yeah. Sure.,JACK,True
BATEMAN,JACK,Jean-I'm not-,Jean. No.,JACK,True
BATEMAN,JACK,I've been great. And you?,I'm fine. You?,JACK,True
BATEMAN,JACK,It's no problem,No problem.,JACK,True
BATEMAN,JACK,Interesting.,Right.,JACK,True
BATEMAN,JACK,"Listen, John, I've got to go. T Boone Pickens just walked in... Just joking... No don't tip the owner of the salon. Okay, John, right, got it. Sorry about that.",Look. I've got to go. I wasn't joking. Don't tip the owner. Right. Got it.,JACK,True
BATEMAN,JACK,"Paul, give me your Amex card. Good boy. Bateman slaps the card down, looks at the check.","I took Paul's card. He handed it over. Good boy, I said. The check sat there between us. I put the card down on top of it.",JACK,True
BATEMAN,JACK,What do you think I do?,What exactly did you think was happening here.,JACK,True
BATEMAN,JACK,How did you guess?,How'd you know.,JACK,True
BATEMAN,JACK,Do you take American Express?,Do they take your card?,JACK,True
BATEMAN,JACK,No. Not really.,No.,JACK,True
BATEMAN,JACK,Then why can't they get these stains out? I mean can you talk to these people or something? I'm not getting anywhere.,The stains are still there. Three visits. Same stains. Maybe you could talk to them. I can't.,JACK,True
BATEMAN,JACK,Jean? Hello? Jean?,"Jean...

Jean?

Jean.",JACK,True
BATEMAN,JACK,Nobody goes there anymore.,The place is empty now. Everyone stopped going.,JACK,True
BATEMAN,JACK,I'm thinking Dorsia.,I was thinking Dorsia.,JACK,True
BATEMAN,JACK,Do you have any witnesses or fingerprints?,Any witnesses? Fingerprints? Anything?,JACK,True
BATEMAN,JACK,"Oh, right. Of course...We had wanted Paul Owen to come. But he said he had plans...I guess I had dinner with Victoria...the following night.","Paul Owen didn't come. He had plans. That's what he said. Victoria and I had dinner. Next night, I think.",JACK,True
BATEMAN,JACK,Understandable. Lime?,Makes sense. Want some lime?,JACK,True
BATEMAN,JACK,Where to? Morgan Stanley? Rehab? What?,Where? Morgan Stanley? Some clinic? I waited for an answer.,JACK,True
BATEMAN,JACK,"Well, we have to end apartheid for one. And slow down the nuclear arms race, stop terrorism and world hunger. But we can't ignore our social needs. either We have to stop people from abusing the welfare system. We have to provide food and shelter for the homeless and oppose racial discrimination and promote civil rights while also promoting equal rights for women but change the abortion laws to protect the right to life yet still somehow maintain women's freedom of choice.","I had opinions about things. Apartheid. Nuclear weapons. Terrorism. The usual. Also welfare abuse and homeless people and civil rights. Women's rights too. And abortion—both sides, somehow. I sounded like a copy of a copy of a copy.",JACK,True
BATEMAN,JACK,Thanks. It slipped my mind completely.,I forgot. Not that I remembered forgetting until just now.,JACK,True
BATEMAN,JACK,Ask me a question.,Go ahead.,JACK,True
BATEMAN,JACK,I'm not really sure. I had a shower...and some sorbet?,I don't know. Showered. Ate something cold.,JACK,True
BATEMAN,JACK,"So, wasn't Rothschild originally handling the Fisher account? How did you get it?",Fisher was Rothschild's account. Then it wasn't. How'd that happen.,JACK,True
BATEMAN,JACK,"So, you're looking great, how have you been?",You look good. How's life?,JACK,True
BATEMAN,JACK,"Well, I mean, um, it s really...Bosco. You know, like... like a Dove Bar. It's a Dove Bar...Hershey's Syrup?","Chocolate. Dark chocolate. The kind that comes in a bar. Hershey's, maybe. Or one of those ice cream things. A Dove Bar.",JACK,True
BATEMAN,JACK,The earth just opens up and swallows people.,People disappear. The ground takes them. That's it.,JACK,True
BATEMAN,JACK,It's...it's...all right.,It's fine.,JACK,True
BATEMAN,JACK,"Yeah, well, oh boy, listen, I've got to go. Thank you, uh... Victoria?",Look... I have to go. Thanks... Victoria. Right?,JACK,True
BATEMAN,JACK,"Come on, you dumb son of a bitch. I've got a preview of the Barneys catalogue and a bottle of Absolut waiting for us.",Come on. I had the catalogue. I had the vodka. We both knew what this was.,JACK,True
BATEMAN,JACK,"Well, isn't this a coincidence.",Look. Right. A coincidence.,JACK,True
BATEMAN,JACK,You sure? I can always get you a lime.,You want lime? I could get lime.,JACK,True
BATEMAN,JACK,Growing. I'm glad you said that.,Growing. Good. I was hoping you'd say that.,JACK,True
BATEMAN,JACK,"Sounds like I'll have to. Don't fall asleep, okay? Wear something fabulous. Dorsia, remember?",Looks like I don't have a choice. Stay awake. Wear something good. Dorsia. You remember.,JACK,True
BATEMAN,JACK,Come on. Don't you find Christie attractive?,Look. You think Christie's attractive. Right?,JACK,True
BATEMAN,JACK,Because I...want...to...fit...in.,I wanted to fit in. That was the problem.,JACK,True
BATEMAN,JACK,"Cecelia is, well...you know",Cecelia. Yeah.,JACK,True
BATEMAN,JACK,Thanks.,Yeah.,JACK,True
BATEMAN,JACK,I'm looking for...Paul Owen's...place.,I need to find Paul Owen's place.,JACK,True
BATEMAN,JACK,Eight?,Eight.,JACK,True
ALVY,BEN,"Wh- How am I a paran-? Well, I pick up on those kind o' things. You know, I was having lunch with some guys from NBC, so I said... uh, ""Did you eat yet or what?"" and Tom Christie said, ""No, didchoo?"" Not, did you, didchoo eat? Jew? No, not did you eat, but Jew eat? Jew. You get it? Jew eat?",He said didchoo. Not did you. Jew. That's what I heard.,BEN,True
ALVY,BEN,"La-de-da. If I-if anyone had ever told me that I would be taking out a girl who used expressions like ""la- de-da""...",You say la-de-da. I never thought I'd be with someone who says that.,BEN,True
ALVY,BEN,"Gimme a break, will yuh, gimme a break. Jesus Christ!",Please. Just stop.,BEN,True
ALVY,BEN,"Yeah, where is the spider?",Where is it?,BEN,True
ALVY,BEN,"No, don't be silly. What-what do we need other people for? You know, we should-we should just turn out the lights, you know, and play hide and seek or something.",We don't need them. Turn out the lights. Hide and seek or something.,BEN,True
ALVY,BEN,I'm gonna meet her in front of the Beekman. I think I have a few minutes left. Right?,I'm meeting her at the Beekman. I have time. Right?,BEN,True
ALVY,BEN,"Well, thanks, thank you. You-you're a wonderful tennis player.",Thanks. You play well.,BEN,True
ALVY,BEN,I'm into garbage. It's my thing.,I like garbage.,BEN,True
ALVY,BEN,You wanna get coffee for two hours or something? We'll go next-,Coffee?,BEN,True
ALVY,BEN,"She said, ""Will it change my wife."" You heard that because you were there so I'm not crazy.",She said that. You heard it. I'm not crazy.,BEN,True
ALVY,BEN,"All right, here! Oh, God, it's disgusting!",Here. God. It's disgusting.,BEN,True
ALVY,BEN,"Tsch, I know. A relationship, I think, is-is like a shark, you know? It has to constantly move forward or it dies. And I think what we got on our hands is a dead shark.",A relationship has to move forward. Or it dies. This is dead.,BEN,True
ALVY,BEN,"How can you say that? I mean, who said I-I-I-I said that you, I and that girl from your acting class should sleep together in a threesome.",I didn't say that. I never said anything about your acting class.,BEN,True
ALVY,BEN,"Yeah, I love it there.",I like it there.,BEN,True
ALVY,BEN,"It's all right for me, it's been terrific, you know? Better than either one of my marriages. See, 'cause... 'cause there's just something different about you. I don't know what it is, but it's great.",It's been good. Better than my marriages. You're different.,BEN,True
ALVY,BEN,Alvy Singer. It was nice nice... Thanks very much... for everything.,Ben Singer. Thanks.,BEN,True
ALVY,BEN,"Tsch, why don't we get... why don't we get Rob, and the three of us'll drive into Brooklyn, you know, and we show you the old neighborhood.",We could get Rob. Drive to Brooklyn. Show you where I grew up.,BEN,True
ALVY,BEN,Sure. W-w-w-which way yuh goin'?,Which way.,BEN,True
ALVY,BEN,"you're gonna like night clubs, they're really a lotta fun.",You'll like it.,BEN,True
ALVY,BEN,"Well, I'm-I'm gonna take another in a series of cold showers.",I'll take a cold shower.,BEN,True
ALVY,BEN,"Yeah, why not, because we're just gonna go home later, right?",We're going home later anyway.,BEN,True
ALVY,BEN,V.P.L.?,V.P.L.?,BEN,True
ALVY,BEN,Your grammy!,Your grammy.,BEN,True
ALVY,BEN,"It's-it's got bad plumbing and bugs. Jesus, I'll-My accountant will write it off as a tax deduction, I'll pay for it.",The plumbing's bad. There are bugs. I'll pay for it.,BEN,True
ALVY,BEN,"I-uh, love is, uh, is too weak a word for what...",Love's not the word.,BEN,True
ALVY,BEN,"so if I get a laugh from a person who's high, it doesn't count. You know-'cause they're always laughin'.",If they're high it doesn't count. They laugh at everything.,BEN,True
ALVY,BEN,Yeah? Allison what?,What about her.,BEN,True
ALVY,BEN,"Yeah, the neighborhood's gonna be great.",The neighborhood's good.,BEN,True
ALVY,BEN,"Uh, I hate to tell yuh, this is nineteen seventy-five, you know that ""neat"" went out, I would say, at the turn of the century. Who-who are-who are those photos on the wall?","It's nineteen seventy-five. Nobody says ""neat."" Who are those people on the wall?",BEN,True
ALVY,BEN,You- Do you love me?,Do you love me.,BEN,True
ALVY,BEN,"I-I-I'm gonna buy you these books, I think, because I-I think you should read them. You know, instead of that cat book.",I'll buy you these. You should read them. Not that cat book.,BEN,True
ALVY,BEN,This is the first book that I got you.,This is the first one.,BEN,True
ALVY,BEN,"Officer, I know what you're gonna say. I'm-I'm not a great driver, you know, I-I have some problems with- with-with-",I'm not a great driver.,BEN,True
ALVY,BEN,I can think of another word.,There's another word.,BEN,True
ALVY,BEN,"Two... Yeah. Lotta, lotta trouble. There's two of 'em.",Two of them.,BEN,True
ALVY,BEN,"No, no, I came out here to get some shock therapy, but there was an energy crisis, so I... He's my-my food taster. Have you two met?",I came for shock therapy. Energy crisis. He tastes my food. Have you met?,BEN,True
ALVY,BEN,Who? Grammy? Grammy Hall?,Grammy Hall?,BEN,True
ALVY,BEN,Where?,Where?,BEN,True
ALVY,BEN,"Hey, listen, listen.",Look -- please --,BEN,True
ALVY,BEN,"You? You kiddin'? If the Gestapo would take away your Bloomingdale's charge card, you'd tell 'em everything.",You'd tell them. If they took your credit card.,BEN,True
BEN,ALVY,Now let's keep going here.,"Let's-let's not stop now, we gotta keep- I mean, we're moving, right? So let's just keep it going here.",ALVY,True
BEN,ALVY,Then let's hear them.,"Well then, let's- let's hear what you have to say! I mean, you got ideas, you got thoughts, so let's- I wanna hear them, you know? Come on, let's hear it already.",ALVY,True
BEN,ALVY,"We're not dropping it. Now that's the reason, isn't it? I'm a dirty degenerate, aren't I? I'm not fit to --","We're not- we're not dropping it. That's the reason, right? I mean, that's- that's what you think, isn't it? That I'm some kind of dirty degenerate or something? You know, that I'm not fit to- I mean, what, I'm not good enough to--",ALVY,True
BEN,ALVY,You don't?,"You don't? Wh-what do you mean you don't? That's- I mean, really? You're telling me you don't? Because I would've thought- I mean, it seems like something you would, you know?",ALVY,True
BEN,ALVY,If you want.,"Yeah, I mean, if that's- if that's what you wanna do, then sure, we could- I don't know, I'm just saying it's up to you, you know?",ALVY,True
BEN,ALVY,No. I think you'll want to wait on that.,"No, no, I-I wouldn't do that now if I were you. I mean, you're gonna wanna hold off on that, you know? Wait. Just-just wait on it.",ALVY,True
BEN,ALVY,How do you get out of the house?,"I-I don't understand, how do you- what's the procedure here for leaving? I mean, there's gotta be a way out, right? You just- do you walk out the front or is there some kind of- I'm just asking how does one actually get out of the house?",ALVY,True
BEN,ALVY,Oh my God.,"Oh my- Jesus! I mean, oh my God! Oh my God, are you- did you see that? That's- I can't believe- oh my God!",ALVY,True
BEN,ALVY,Her portrait?,"Wait-wait, you mean her portrait? Like a- a portrait of her?",ALVY,True
BEN,ALVY,Is that him over there?,"Is that-is that the guy? Over there? That's him, right? I mean, which one- the one over there by the- that's gotta be him, no?",ALVY,True
BEN,ALVY,Yes I do.,"Yes! Yes, I do, I-I absolutely do. Of course I do. What, you think I don't? I-I just said I do, I mean, yes.",ALVY,True
BEN,ALVY,We're talking.,"What do you mean we're talking? Of course we're- we're talking, we're having a conversation right now, aren't we? I mean, that's what this is, this is- this is us talking.",ALVY,True
BEN,ALVY,Of course.,"Yeah, of course, I mean- absolutely, what do you think? There's no question about it, naturally, I-I would- yes!",ALVY,True
BEN,ALVY,Luggage? Yes. Yes. I do.,"Luggage? Well, yeah, I-I have luggage. Of course I have luggage. What, you think I came here with-with nothing? I mean, yes, there's luggage, I do have it.",ALVY,True
BEN,ALVY,You're welcome.,"No problem, it's-it's nothing, I mean, what am I gonna say, you're not welcome? That would be crazy, right? So you're welcome, of course you're welcome.",ALVY,True
BEN,ALVY,Let's not talk about it. Let's not talk at all.,"Look, can we not- can we just not discuss this? I mean, talking, all this talking, what does it accomplish? Nothing. So let's- let's not even, you know, let's not say anything at all. Just... silence. Complete silence would be good.",ALVY,True
BEN,ALVY,You do?,"You do? You- You really do? I mean, that's- wait, you're serious about this? Because I wanna make sure I'm not misunderstanding what you're saying here.",ALVY,True
BEN,ALVY,"And if you think I come here for any reason besides pure boredom, then you're all wrong.","And if you- Look, I mean, the only reason I'm even here is pure boredom, you know? That's it. There's no other- If you think there's some other reason, then you're completely wrong about this. You're all wrong. I'm bored, that's the whole thing.",ALVY,True
BEN,ALVY,Look -- she's all right. She's upset and she screamed. But she's okay now.,"Look, look -- she's fine, I mean she was screaming, yeah, but she was upset, you know, naturally she screamed, but now she's -- she's okay. She's fine now.",ALVY,True
BEN,ALVY,I'm putting it on the top step.,"I'm-I'm gonna put it on the top step here, the top one, you know, so it's- there's no confusion about where it is or anything.",ALVY,True
BEN,ALVY,Carl who?,"Carl who? What- which Carl are we talking about here? There's-there's probably fifty Carls, I mean, do you know how many Carls there are?",ALVY,True
BEN,ALVY,Look. Why the hell did you bring this up. It never occurred to me to take her out.,"Look, wh-why are you even- I mean, what are you bringing this up for? It never- The thought never crossed my mind, you know, to ask her out or take her anywhere. I didn't- It wasn't something I was thinking about.",ALVY,True
BEN,ALVY,It shouldn't make any difference what happened.,"Look, it doesn't- What difference does it make, you know, what happened? I mean, there's no difference, it shouldn't matter, what- what actually occurred or didn't occur.",ALVY,True
BEN,ALVY,No. No -- I'm just -- I'm just a little worried about my future. I'm a little upset about my future.,"No, no, it's not- I mean, I'm worried about the future. My future. There's-there's this whole thing about what's gonna happen to me and I-I get upset thinking about it, you know? The future and-and what am I gonna do with myself and all that.",ALVY,True
BEN,ALVY,Not exactly.,"Well, no, it's not- I mean, that's not completely accurate. There's more to it than that, you know? It's- it's close but not- not exactly, no.",ALVY,True
BEN,ALVY,Art. That's a good subject. You start it off.,"Art. Uh, yeah, art is a-a good subject. I mean, it's a very good subject for conversation. You know, you should- why don't you start it off? Because I-I wouldn't know where to begin with something like that.",ALVY,True
BEN,ALVY,But you might.,"But you-you could, I mean, it's possible, right? There's a possibility that you might. You might!",ALVY,True
BEN,ALVY,But could you try?,"Look, I'm not asking- What I'm saying is, couldn't you at least make an attempt here? I mean, just- just try, you know? Is that- Would that be so difficult?",ALVY,True
BEN,ALVY,"The Zoo. They have a pretty good one here, do they?","The Zoo, right? They-they have a pretty good one here, I heard, or- I mean, do they? Is it any good? Because I was reading somewhere that it's supposed to be decent, you know, but I don't know if that's true or what.",ALVY,True
BEN,ALVY,Quite a while.,"Oh, it's been a-a long time. I mean, a really long time. A while. Quite a while, actually.",ALVY,True
BEN,ALVY,Wait a minute. So you wouldn't say you loved him.,"Wait-wait a minute here. So you're telling me- What you're saying is you wouldn't say you loved him? You wouldn't use that word? Because love is- I mean, that's a pretty strong word, love, and you're saying you wouldn't- you didn't love him?",ALVY,True
BEN,ALVY,Well -- I don't know.,"Well, I-I don't- Look, what do I know? I mean, you're asking me and I don't have- there's no answer here that I can give you because I don't know.",ALVY,True
BEN,ALVY,Here? In Berkeley?,"Wait, what- You're saying here? You mean here in Berkeley? In-in Berkeley, California? That Berkeley?",ALVY,True
BEN,ALVY,Are you kidding?,"What- Are you- You gotta be kidding me with this, I mean, this is a joke, right? You're joking?",ALVY,True
BEN,ALVY,Was he a law student at the time?,"Was he- I mean, he was studying law then, right? Or- or was that later? I'm trying to remember if he was actually in law school at that point or what.",ALVY,True
BEN,ALVY,The belt I'm looking for was from my grandmother.,"The-the belt, the one I'm looking for, uh, it was my grandmother's. She gave it to me. My grandmother. Not just any belt, you know, but... it belonged to her.",ALVY,True
BEN,ALVY,Look -- I was thinking about that time after the party --,"Look, I-I've been thinking about- you know, after the party, that time when we- I mean, it keeps coming back to me, that whole thing after the party...",ALVY,True
BEN,ALVY,-- and when we got up in the room she starts taking her her clothes off -- and --,"and so we-we get up to the room, right, and she starts, uh, she's taking off her clothes, I mean she's actually undressing, and I-I didn't know what to- there's no preparation for this, you know, she just starts removing articles of clothing and",ALVY,True
BEN,ALVY,"No, I don't. But I just feel a little funny.","No, I-I don't, but there's-there's this feeling, you know, it's like a... I feel a little funny about it, I don't know how to- It's just funny to me.",ALVY,True
BEN,ALVY,Well I'll hand it to you.,"Well, I gotta say- Look, I mean, you really- I gotta hand it to you here, I really do.",ALVY,True
JACK,ALVY,Hello?,Hel- Hello? Is somebody- Are you there or what?,ALVY,True
JACK,ALVY,I guess so.,"Yeah, I-I suppose, uh... I mean, yeah, so help me, yeah.",ALVY,True
JACK,ALVY,There's no one else here.,"There's-there's nobody, uh, I mean we're alone here, you know? It's just us. No one else is- I looked around and it's empty.",ALVY,True
JACK,ALVY,What are we doing?,"What are we- I mean, what is this we're doing here? There's- there's gotta be some kind of explanation for what we're doing, you know?",ALVY,True
JACK,ALVY,What are you doing?!,"Wh-what are you- What is that? What are you doing there, I mean, what- what is this that you're doing right now?",ALVY,True
JACK,ALVY,"What's this all about, Tyler?","What- Tyler, what is this? I mean, what's going on here? There's-there's gotta be some explanation for... I don't understand what this is all about.",ALVY,True
JACK,ALVY,Paraffin.,"It's-it's paraffin, you know, like wax. Paraffin. They use it for- I mean, you know what paraffin is, right? It's that waxy substance they...",ALVY,True
JACK,ALVY,I don't think that's true.,"I-I don't- Well, I mean, is that true? I don't think so. There's no- That's not true, you know, I don't believe that's true.",ALVY,True
JACK,ALVY,Nothing.,"No, no, it's- there's nothing, I mean... what am I gonna say? Nothing. Zero. I got nothin'.",ALVY,True
JACK,ALVY,"It's called a ""changeover."" The movie goes on, and nobody in the audience has any idea.","It's-it's called a changeover, you know? The-the movie, it just keeps going and going, and nobody - I mean the people in the audience - they don't have any idea that it's even happening, you know what I mean?",ALVY,True
ALVY,JACK,"Oh, you-you have to be artificially relaxed before we can go to bed?",You need chemicals to sleep with me.,JACK,True
ALVY,JACK,I'm not myself since I stopped smoking.,I quit smoking. Three days later I didn't recognize myself in the mirror. Not the face. Something else.,JACK,True
ALVY,JACK,"No, no, no, what... You can once, you can live without it once. Come on.",You'll survive. One night without it. Let's go.,JACK,True
ALVY,JACK,"I, uh... well, you're not from New York, right?",You're not from New York.,JACK,True
ALVY,JACK,"Do I drive? Uh, no, I gotta-I gotta problem with driving.",I don't drive. Cars are a problem for me.,JACK,True
ALVY,JACK,Don't get upset!,Stay calm.,JACK,True
ALVY,JACK,"Oh, yeah, really? Really? How-how'd you like it? Was it-was it, I mean, did it... was it heavy? Did it achieve total heavy-ocity? Or was it, uh...",So. Did it work for you. Was it heavy. Did it reach maximum heaviness. Or not.,JACK,True
ALVY,JACK,"La-de-da. If I-if anyone had ever told me that I would be taking out a girl who used expressions like ""la- de-da""...",She said la-de-da. I was dating someone who said la-de-da. I Am Jack's Wasted Youth.,JACK,True
ALVY,JACK,"Officer, I know what you're gonna say. I'm-I'm not a great driver, you know, I-I have some problems with- with-with-",Officer. I know. I'm a bad driver. I have problems.,JACK,True
ALVY,JACK,"M'm, wait, I got a great idea. Hang in there for a second. I got a little-little artifact. A little erotic artifact, that-that I brought up from the city, which I think, uh, is gonna be perfect. I just... there... There's a little Old New Orleans... essence. Now-now we can go about our business here and we can even develop photographs if we want to. There, now there. M'mmm. M'mmm. Hey, is something wrong?","Wait.

I brought something. From the city.

A little piece of old New Orleans. Red light. Soft focus. You can develop film in it if you want.

There.

Something wrong?",JACK,True
JACK,BEN,I'll expose you.,I'm going to tell.,BEN,True
JACK,BEN,"Yeah, both of us.",Us both.,BEN,True
JACK,BEN,What did you say... ?,What was that.,BEN,True
JACK,BEN,"You buy furniture. You tell yourself: this is the last sofa I'll ever need. No matter what else happens, I've got the sofa issue handled. Then, the right set of dishes. The right dinette.",You buy furniture. This is the last sofa. No matter what happens -- I've got that handled. Then dishes. The dinette.,BEN,True
JACK,BEN,I thought you did.,I thought so.,BEN,True
JACK,BEN,You hear that?,You hear it?,BEN,True
JACK,BEN,"No, thanks.",No thank you.,BEN,True
JACK,BEN,Marla... I need to talk to you. It's going to take a tremendous act of faith on your part for you to hear me out.,Marla -- I need to talk. You have to just -- you have to hear me out.,BEN,True
JACK,BEN,Uh... nah...,No.,BEN,True
JACK,BEN,That... sawing and hammering.,The sawing. And hammering.,BEN,True
BEN,JACK,Don't cry.,I am Jack's refusal to show emotion.,JACK,True
BEN,JACK,Then let's hear them.,Let's hear them then.,JACK,True
BEN,JACK,Well -- I guess I'll have to ask her out on a date and find out what's --,So I'll ask her out. See what happens. Simple as that.,JACK,True
BEN,JACK,I'm going to marry Elaine Robinson.,I'm marrying Elaine Robinson.,JACK,True
BEN,JACK,I don't know. I want it to be --,"I wanted something. What exactly, I couldn't say. But I wanted it.",JACK,True
BEN,JACK,"But, Elaine --","Look, Elaine.",JACK,True
BEN,JACK,But why?,"And the point of that would be what, exactly?",JACK,True
BEN,JACK,Look. Why the hell did you bring this up. It never occurred to me to take her out.,Look. You're the one who planted this in my head. Taking her out? That particular thought hadn't crossed my mind. Until now.,JACK,True
BEN,JACK,But could you try?,So you're asking if I'll try. Fine. I'll try.,JACK,True
BEN,JACK,Well -- it's very comfortable -- just to drift here.,Floating here. No effort required. This is what comfort looks like.,JACK,True
JACK,ERIN,You don't know that. There could still be people inside.,How do you know that? There could be someone in there right now.,ERIN,True
JACK,ERIN,"It must've been Tuesday. he was wearing his ""cornflower-blue"" tie.","Had to be Tuesday, right? That's when he wore that cornflower-blue tie of his.",ERIN,True
JACK,ERIN,"He farted on meringue; he sneezed on braised endive; and, with creme of mushroom soup, well...",He farted on the meringue. He sneezed on the braised endive. And the cream of mushroom soup? You don't even want to know.,ERIN,True
JACK,ERIN,What are you talking about?,What the hell are you saying?,ERIN,True
